"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"10409737"	"0.5425"	"8.88e-03"	"3.29"	"-2.32941"	"3.79e-01"	"Agtpbp1"	"ATP/GTP binding protein 1"
"10549982"	"0.5425"	"8.89e-03"	"-3.29"	"-2.33027"	"-6.05e-01"	"Vmn1r73"	"vomeronasal 1 receptor 73"
"10424287"	"0.5425"	"8.89e-03"	"-3.29"	"-2.33086"	"-4.21e-01"	"Fer1l6"	"fer-1-like 6 (C. elegans)"
"10341494"	"0.5425"	"8.91e-03"	"-3.29"	"-2.33205"	"-9.44e-01"	""	""
"10342865"	"0.5425"	"8.91e-03"	"-3.29"	"-2.33213"	"-9.31e-01"	""	""
"10341451"	"0.5425"	"8.91e-03"	"3.29"	"-2.33237"	"9.02e-01"	""	""
"10338264"	"0.5425"	"8.95e-03"	"3.29"	"-2.33644"	"7.55e-01"	""	""
"10343485"	"0.5425"	"8.96e-03"	"3.29"	"-2.33663"	"6.67e-01"	""	""
"10556133"	"0.5425"	"8.96e-03"	"3.29"	"-2.33683"	"3.57e-01"	"Styx"	"serine/threonine/tyrosine interaction protein"
"10583825"	"0.5425"	"8.99e-03"	"3.29"	"-2.34014"	"3.77e-01"	"Zfp809"	"zinc finger protein 809"
"10339409"	"0.5425"	"9.00e-03"	"-3.28"	"-2.34047"	"-6.07e-01"	""	""
"10383204"	"0.5425"	"9.00e-03"	"3.28"	"-2.3407"	"4.89e-01"	""	""
"10525942"	"0.5425"	"9.01e-03"	"-3.28"	"-2.34147"	"-4.16e-01"	"Glt1d1"	"glycosyltransferase 1 domain containing 1"
"10399330"	"0.5425"	"9.03e-03"	"3.28"	"-2.34369"	"3.48e-01"	"Ubxn2a"	"UBX domain protein 2A"
"10574104"	"0.5425"	"9.03e-03"	"3.28"	"-2.34399"	"4.91e-01"	"Nlrc5"	"NLR family, CARD domain containing 5"
"10605018"	"0.5425"	"9.05e-03"	"-3.28"	"-2.34521"	"-6.53e-01"	"Xlr5b///Xlr5a///Xlr5c"	"X-linked lymphocyte-regulated 5B///X-linked lymphocyte-regulated 5A///X-linked lymphocyte-regulated 5C"
"10399178"	"0.5425"	"9.10e-03"	"3.28"	"-2.34994"	"3.79e-01"	"Cdca7l"	"cell division cycle associated 7 like"
"10450904"	"0.5425"	"9.13e-03"	"3.28"	"-2.35331"	"5.57e-01"	"Scoc"	"short coiled-coil protein"
"10572747"	"0.5425"	"9.14e-03"	"3.28"	"-2.35387"	"4.21e-01"	"Tpm4"	"tropomyosin 4"
"10523161"	"0.5425"	"9.15e-03"	"3.27"	"-2.35469"	"4.99e-01"	"Mthfd2l"	"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2-like"
"10418480"	"0.5425"	"9.15e-03"	"3.27"	"-2.35469"	"4.26e-01"	"Gnl3"	"guanine nucleotide binding protein-like 3 (nucleolar)"
"10417605"	"0.5425"	"9.16e-03"	"-3.27"	"-2.35555"	"-3.60e-01"	"Fhit"	"fragile histidine triad gene"
"10343465"	"0.5425"	"9.17e-03"	"-3.27"	"-2.35644"	"-8.97e-01"	""	""
"10344161"	"0.5425"	"9.17e-03"	"3.27"	"-2.35668"	"5.53e-01"	""	""
"10339121"	"0.5425"	"9.17e-03"	"3.27"	"-2.35673"	"3.80e-01"	""	""
"10395692"	"0.5425"	"9.19e-03"	"3.27"	"-2.35829"	"7.60e-01"	"Arhgap5"	"Rho GTPase activating protein 5"
"10393125"	"0.5425"	"9.19e-03"	"3.27"	"-2.35872"	"5.19e-01"	"Mrpl38"	"mitochondrial ribosomal protein L38"
"10505044"	"0.5425"	"9.21e-03"	"3.27"	"-2.36009"	"5.59e-01"	"Fktn"	"fukutin"
"10595718"	"0.5425"	"9.21e-03"	"3.27"	"-2.36014"	"4.40e-01"	"Chst2"	"carbohydrate sulfotransferase 2"
"10341694"	"0.5425"	"9.21e-03"	"-3.27"	"-2.36015"	"-5.21e-01"	""	""
"10406982"	"0.5425"	"9.22e-03"	"3.27"	"-2.36087"	"3.73e-01"	"Adamts6"	"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 6"
"10340571"	"0.5425"	"9.24e-03"	"3.27"	"-2.3626"	"3.75e-01"	""	""
"10535006"	"0.5425"	"9.24e-03"	"3.27"	"-2.3631"	"3.98e-01"	"BC037034"	"cDNA sequence BC037034"
"10585428"	"0.5425"	"9.25e-03"	"3.27"	"-2.36433"	"4.41e-01"	"Dnaja4"	"DnaJ heat shock protein family (Hsp40) member A4"
"10340278"	"0.5425"	"9.26e-03"	"-3.27"	"-2.36452"	"-5.83e-01"	""	""
"10407792"	"0.5425"	"9.27e-03"	"3.27"	"-2.3655"	"4.83e-01"	"Gpr137b-ps"	"G protein-coupled receptor 137B, pseudogene"
"10599855"	"0.5425"	"9.27e-03"	"3.27"	"-2.36582"	"4.04e-01"	"Eif4e"	"eukaryotic translation initiation factor 4E"
"10599187"	"0.5425"	"9.28e-03"	"3.27"	"-2.36627"	"5.54e-01"	"Zcchc12"	"zinc finger, CCHC domain containing 12"
"10366814"	"0.54261"	"9.29e-03"	"3.26"	"-2.36783"	"3.84e-01"	"Cdk4"	"cyclin-dependent kinase 4"
"10573160"	"0.54349"	"9.32e-03"	"-3.26"	"-2.37058"	"-4.37e-01"	"Mgat4d"	"MGAT4 family, member C"
"10339891"	"0.54499"	"9.38e-03"	"-3.26"	"-2.37604"	"-6.89e-01"	""	""
"10569017"	"0.54499"	"9.40e-03"	"3.26"	"-2.37785"	"6.90e-01"	"Ifitm3"	"interferon induced transmembrane protein 3"
"10412562"	"0.54499"	"9.44e-03"	"3.26"	"-2.38083"	"4.85e-01"	"Flnb"	"filamin, beta"
"10546432"	"0.54499"	"9.46e-03"	"3.25"	"-2.38265"	"5.17e-01"	"Adamts9"	"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 9"
"10434975"	"0.54499"	"9.47e-03"	"-3.25"	"-2.38407"	"-4.77e-01"	"Mfi2"	"antigen p97 (melanoma associated) identified by monoclonal antibodies 133.2 and 96.5"
"10507273"	"0.54499"	"9.50e-03"	"3.25"	"-2.38642"	"3.48e-01"	"Pik3r3"	"phosphatidylinositol 3 kinase, regulatory subunit, polypeptide 3 (p55)"
"10338799"	"0.54499"	"9.51e-03"	"3.25"	"-2.38708"	"9.11e-01"	""	""
"10490551"	"0.54499"	"9.52e-03"	"3.25"	"-2.3884"	"5.11e-01"	"Nkain4"	"Na+/K+ transporting ATPase interacting 4"
"10368748"	"0.54499"	"9.57e-03"	"3.25"	"-2.39263"	"4.73e-01"	"Amd2///Amd1"	"S-adenosylmethionine decarboxylase 2///S-adenosylmethionine decarboxylase 1"
"10504398"	"0.54499"	"9.59e-03"	"3.25"	"-2.39391"	"4.75e-01"	"Serf2"	"small EDRK-rich factor 2"
"10599116"	"0.54499"	"9.59e-03"	"-3.25"	"-2.39437"	"-5.68e-01"	""	""
"10343649"	"0.54499"	"9.62e-03"	"-3.24"	"-2.39697"	"-4.89e-01"	""	""
"10540897"	"0.54499"	"9.62e-03"	"3.24"	"-2.39708"	"6.05e-01"	"Pparg"	"peroxisome proliferator activated receptor gamma"
"10601335"	"0.54499"	"9.65e-03"	"3.24"	"-2.39995"	"4.30e-01"	"Pbdc1"	"polysaccharide biosynthesis domain containing 1"
"10401933"	"0.54499"	"9.68e-03"	"-3.24"	"-2.40189"	"-4.51e-01"	"Sympk"	"symplekin"
"10504759"	"0.54499"	"9.68e-03"	"-3.24"	"-2.40189"	"-4.51e-01"	"Sympk"	"symplekin"
"10464819"	"0.54499"	"9.68e-03"	"3.24"	"-2.40214"	"4.25e-01"	"Gm21992///Rbm14"	"predicted gene 21992///RNA binding motif protein 14"
"10377725"	"0.54499"	"9.71e-03"	"3.24"	"-2.40456"	"4.29e-01"	"Dlg4"	"discs, large homolog 4 (Drosophila)"
"10489377"	"0.54499"	"9.78e-03"	"-3.23"	"-2.41041"	"-3.37e-01"	"Serinc3"	"serine incorporator 3"
"10365290"	"0.54499"	"9.78e-03"	"3.23"	"-2.41111"	"4.77e-01"	"Chst11"	"carbohydrate sulfotransferase 11"
"10488048"	"0.54499"	"9.79e-03"	"3.23"	"-2.41168"	"5.04e-01"	"Mkks"	"McKusick-Kaufman syndrome"
"10339451"	"0.54499"	"9.80e-03"	"-3.23"	"-2.41256"	"-4.33e-01"	""	""
"10466839"	"0.54499"	"9.86e-03"	"-3.23"	"-2.41726"	"-5.22e-01"	""	""
"10503232"	"0.54499"	"9.86e-03"	"-3.23"	"-2.4179"	"-4.36e-01"	""	""
"10369898"	"0.54499"	"9.86e-03"	"3.23"	"-2.41801"	"3.07e-01"	""	""
"10344611"	"0.54499"	"9.87e-03"	"-3.23"	"-2.4186"	"-4.83e-01"	""	""
"10452000"	"0.54499"	"9.89e-03"	"3.23"	"-2.42013"	"5.30e-01"	"Dpp9"	"dipeptidylpeptidase 9"
"10341734"	"0.54499"	"9.89e-03"	"-3.23"	"-2.42015"	"-4.52e-01"	""	""
"10532133"	"0.54499"	"9.89e-03"	"3.23"	"-2.42018"	"3.86e-01"	"Evi5"	"ecotropic viral integration site 5"
"10607877"	"0.54499"	"9.90e-03"	"3.23"	"-2.42087"	"3.75e-01"	"Prps2"	"phosphoribosyl pyrophosphate synthetase 2"
"10527920"	"0.54499"	"9.91e-03"	"3.23"	"-2.42187"	"6.38e-01"	"Cyp51"	"cytochrome P450, family 51"
"10601874"	"0.54499"	"9.93e-03"	"-3.22"	"-2.42342"	"-4.61e-01"	"Tceal3///Tceal5///Tceal6"	"transcription elongation factor A (SII)-like 3///transcription elongation factor A (SII)-like 5///transcription elongation factor A (SII)-like 6"
"10342234"	"0.54499"	"9.94e-03"	"-3.22"	"-2.42421"	"-6.33e-01"	""	""
"10593882"	"0.54499"	"9.95e-03"	"-3.22"	"-2.4252"	"-5.43e-01"	"Gm10658"	"predicted gene 10658"
"10448202"	"0.54499"	"1.00e-02"	"3.22"	"-2.43007"	"4.16e-01"	"LOC102633627///Tpm4"	"tropomyosin alpha-4 chain pseudogene///tropomyosin 4"
"10566599"	"0.54499"	"1.00e-02"	"-3.22"	"-2.43077"	"-4.51e-01"	"Olfr699"	"olfactory receptor 699"
"10424252"	"0.54499"	"1.00e-02"	"3.22"	"-2.43148"	"4.94e-01"	"Wdyhv1"	"WDYHV motif containing 1"
"10542267"	"0.54499"	"1.01e-02"	"-3.22"	"-2.43387"	"-3.85e-01"	"5530400C23Rik"	"RIKEN cDNA 5530400C23 gene"
"10505623"	"0.54499"	"1.01e-02"	"3.22"	"-2.43438"	"5.95e-01"	"Lurap1l"	"leucine rich adaptor protein 1-like"
"10482757"	"0.54499"	"1.01e-02"	"-3.22"	"-2.43492"	"-7.27e-01"	""	""
"10492480"	"0.54499"	"1.01e-02"	"3.22"	"-2.43608"	"3.29e-01"	"Gfm1"	"G elongation factor, mitochondrial 1"
"10484622"	"0.54499"	"1.01e-02"	"-3.21"	"-2.43704"	"-4.84e-01"	"Olfr1085"	"olfactory receptor 1085"
"10339648"	"0.54499"	"1.01e-02"	"-3.21"	"-2.43717"	"-9.31e-01"	""	""
"10341886"	"0.54499"	"1.01e-02"	"-3.21"	"-2.43787"	"-8.43e-01"	""	""
"10531149"	"0.54499"	"1.01e-02"	"3.21"	"-2.44178"	"9.77e-01"	"Gc"	"group specific component"
"10341437"	"0.54499"	"1.02e-02"	"-3.21"	"-2.44258"	"-7.19e-01"	""	""
"10470175"	"0.54499"	"1.02e-02"	"-3.21"	"-2.44338"	"-3.45e-01"	"Obp2a"	"odorant binding protein 2A"
"10484683"	"0.54499"	"1.02e-02"	"-3.21"	"-2.4434"	"-3.90e-01"	"Olfr1134"	"olfactory receptor 1134"
"10447036"	"0.54499"	"1.02e-02"	"-3.21"	"-2.44485"	"-5.42e-01"	""	""
"10580457"	"0.54499"	"1.02e-02"	"3.21"	"-2.44741"	"3.99e-01"	"N4bp1"	"NEDD4 binding protein 1"
"10371277"	"0.54499"	"1.02e-02"	"-3.21"	"-2.44935"	"-3.45e-01"	"Zfp938"	"zinc finger protein 938"
"10596347"	"0.54499"	"1.02e-02"	"3.21"	"-2.44936"	"3.44e-01"	"Atp2c1"	"ATPase, Ca++-sequestering"
"10422504"	"0.54499"	"1.02e-02"	"-3.21"	"-2.45008"	"-3.69e-01"	"Zic5"	"zinc finger protein of the cerebellum 5"
"10458195"	"0.54499"	"1.02e-02"	"-3.21"	"-2.45013"	"-4.82e-01"	"Cdc25c"	"cell division cycle 25C"
"10350697"	"0.54499"	"1.03e-02"	"-3.20"	"-2.45098"	"-3.90e-01"	"Nmnat2"	"nicotinamide nucleotide adenylyltransferase 2"
"10494372"	"0.54499"	"1.03e-02"	"-3.20"	"-2.4538"	"-3.86e-01"	"Sv2a"	"synaptic vesicle glycoprotein 2 a"
"10344819"	"0.54499"	"1.03e-02"	"3.20"	"-2.45398"	"2.95e-01"	"Cspp1"	"centrosome and spindle pole associated protein 1"
"10436727"	"0.54499"	"1.03e-02"	"3.20"	"-2.45459"	"3.19e-01"	"Map3k7cl"	"Map3k7 C-terminal like"
"10378088"	"0.54499"	"1.03e-02"	"3.20"	"-2.45585"	"5.29e-01"	"Mybbp1a"	"MYB binding protein (P160) 1a"
"10432404"	"0.54499"	"1.03e-02"	"3.20"	"-2.45709"	"4.38e-01"	"Tuba1a"	"tubulin, alpha 1A"
"10339828"	"0.54499"	"1.04e-02"	"-3.20"	"-2.45968"	"-4.98e-01"	""	""
"10362904"	"0.54499"	"1.04e-02"	"3.20"	"-2.46104"	"3.82e-01"	"Rtn4ip1"	"reticulon 4 interacting protein 1"
"10455595"	"0.54499"	"1.04e-02"	"3.20"	"-2.46347"	"4.50e-01"	"Eno1b///Eno1"	"enolase 1B, retrotransposed///enolase 1, alpha non-neuron"
"10419286"	"0.54499"	"1.04e-02"	"-3.19"	"-2.46469"	"-4.31e-01"	"Gm10371"	"predicted gene 10371"
"10512739"	"0.54499"	"1.05e-02"	"-3.19"	"-2.46696"	"-3.81e-01"	"Xpa"	"xeroderma pigmentosum, complementation group A"
"10372877"	"0.54499"	"1.05e-02"	"3.19"	"-2.46722"	"3.82e-01"	"Xpot"	"exportin, tRNA (nuclear export receptor for tRNAs)"
"10397606"	"0.54499"	"1.05e-02"	"3.19"	"-2.46747"	"9.53e-01"	"Tshr"	"thyroid stimulating hormone receptor"
"10548735"	"0.54499"	"1.05e-02"	"3.19"	"-2.46932"	"4.60e-01"	"Dusp16"	"dual specificity phosphatase 16"
"10366739"	"0.54499"	"1.05e-02"	"-3.19"	"-2.46942"	"-4.62e-01"	""	""
"10573266"	"0.54499"	"1.05e-02"	"3.19"	"-2.46948"	"5.03e-01"	"Samd1///Prkaca"	"sterile alpha motif domain containing 1///protein kinase, cAMP dependent, catalytic, alpha"
"10456383"	"0.54499"	"1.05e-02"	"3.19"	"-2.46964"	"3.75e-01"	"Impa2"	"inositol (myo)-1(or 4)-monophosphatase 2"
"10341077"	"0.54499"	"1.05e-02"	"3.19"	"-2.47028"	"7.46e-01"	""	""
"10456798"	"0.54499"	"1.05e-02"	"3.19"	"-2.47119"	"4.00e-01"	"Hdhd2"	"haloacid dehalogenase-like hydrolase domain containing 2"
"10439130"	"0.54499"	"1.05e-02"	"3.19"	"-2.47166"	"4.33e-01"	"Umps"	"uridine monophosphate synthetase"
"10450870"	"0.54499"	"1.05e-02"	"-3.19"	"-2.47289"	"-5.42e-01"	""	""
"10339252"	"0.54499"	"1.06e-02"	"-3.19"	"-2.47493"	"-4.97e-01"	""	""
"10343044"	"0.54499"	"1.06e-02"	"3.19"	"-2.4753"	"5.01e-01"	""	""
"10427402"	"0.54499"	"1.06e-02"	"3.19"	"-2.47543"	"9.30e-01"	"Ghr"	"growth hormone receptor"
"10480999"	"0.54499"	"1.06e-02"	"3.19"	"-2.47716"	"2.92e-01"	"Sdccag3"	"serologically defined colon cancer antigen 3"
"10369250"	"0.54499"	"1.06e-02"	"-3.19"	"-2.47743"	"-3.02e-01"	""	""
"10425890"	"0.54499"	"1.06e-02"	"3.18"	"-2.47896"	"4.06e-01"	"Arhgap8"	"Rho GTPase activating protein 8"
"10424695"	"0.54499"	"1.06e-02"	"-3.18"	"-2.47969"	"-3.87e-01"	"Gpihbp1"	"GPI-anchored HDL-binding protein 1"
"10521389"	"0.54499"	"1.06e-02"	"-3.18"	"-2.48077"	"-3.90e-01"	""	""
"10505028"	"0.54499"	"1.06e-02"	"3.18"	"-2.48167"	"4.83e-01"	"Slc44a1"	"solute carrier family 44, member 1"
"10595664"	"0.5451"	"1.07e-02"	"3.18"	"-2.48411"	"5.22e-01"	"Tmed3"	"transmembrane emp24 domain containing 3"
"10531987"	"0.5451"	"1.07e-02"	"3.18"	"-2.48583"	"3.15e-01"	"Gbp4"	"guanylate binding protein 4"
"10545576"	"0.5451"	"1.07e-02"	"3.18"	"-2.48818"	"3.98e-01"	"Mrpl19"	"mitochondrial ribosomal protein L19"
"10343104"	"0.5451"	"1.07e-02"	"-3.18"	"-2.48843"	"-4.31e-01"	""	""
"10532944"	"0.5451"	"1.07e-02"	"3.18"	"-2.48966"	"4.09e-01"	"Mlec"	"malectin"
"10350343"	"0.5451"	"1.08e-02"	"-3.18"	"-2.49123"	"-3.70e-01"	"Atp6v1g3"	"ATPase, H+ transporting, lysosomal V1 subunit G3"
"10573430"	"0.5451"	"1.08e-02"	"3.17"	"-2.49365"	"3.72e-01"	"Gadd45gip1"	"growth arrest and DNA-damage-inducible, gamma interacting protein 1"
"10588522"	"0.5451"	"1.08e-02"	"3.17"	"-2.49692"	"4.69e-01"	"Rrp9"	"RRP9, small subunit (SSU) processome component, homolog (yeast)"
"10579894"	"0.5451"	"1.08e-02"	"3.17"	"-2.49737"	"5.96e-01"	"Hhip"	"Hedgehog-interacting protein"
"10386473"	"0.5451"	"1.08e-02"	"3.17"	"-2.49761"	"4.44e-01"	"Srebf1"	"sterol regulatory element binding transcription factor 1"
"10600024"	"0.5451"	"1.08e-02"	"-3.17"	"-2.49828"	"-3.82e-01"	"Gpr50"	"G-protein-coupled receptor 50"
"10339251"	"0.5451"	"1.09e-02"	"3.17"	"-2.49964"	"6.68e-01"	""	""
"10488449"	"0.5451"	"1.09e-02"	"3.17"	"-2.50202"	"3.55e-01"	""	""
"10590628"	"0.5451"	"1.09e-02"	"3.17"	"-2.50204"	"3.70e-01"	"Ccr3"	"chemokine (C-C motif) receptor 3"
"10591224"	"0.5451"	"1.09e-02"	"3.17"	"-2.50207"	"3.24e-01"	"Zfp560"	"zinc finger protein 560"
"10340850"	"0.5451"	"1.09e-02"	"3.17"	"-2.50229"	"9.62e-01"	""	""
"10530806"	"0.5451"	"1.09e-02"	"3.17"	"-2.50241"	"4.13e-01"	"Ppat"	"phosphoribosyl pyrophosphate amidotransferase"
"10440993"	"0.5451"	"1.09e-02"	"3.17"	"-2.50343"	"3.68e-01"	"Rcan1"	"regulator of calcineurin 1"
"10377550"	"0.54532"	"1.10e-02"	"3.16"	"-2.50674"	"4.77e-01"	"Trp53"	"transformation related protein 53"
"10530827"	"0.54532"	"1.10e-02"	"-3.16"	"-2.50687"	"-5.06e-01"	"Spink2"	"serine peptidase inhibitor, Kazal type 2"
"10535369"	"0.54532"	"1.10e-02"	"3.16"	"-2.50733"	"3.74e-01"	""	""
"10581499"	"0.54534"	"1.10e-02"	"3.16"	"-2.5116"	"3.72e-01"	"Chtf8"	"CTF8, chromosome transmission fidelity factor 8"
"10486172"	"0.54534"	"1.10e-02"	"3.16"	"-2.51292"	"4.01e-01"	"Rmdn3"	"regulator of microtubule dynamics 3"
"10563643"	"0.54534"	"1.10e-02"	"3.16"	"-2.51341"	"3.30e-01"	"Tsg101"	"tumor susceptibility gene 101"
"10440929"	"0.54534"	"1.10e-02"	"3.16"	"-2.51356"	"3.36e-01"	"Gart"	"phosphoribosylglycinamide formyltransferase"
"10343655"	"0.54534"	"1.11e-02"	"3.16"	"-2.51427"	"1.15"	""	""
"10436758"	"0.54534"	"1.11e-02"	"-3.16"	"-2.51457"	"-3.30e-01"	"Gm10229"	"predicted gene 10229"
"10473240"	"0.54534"	"1.11e-02"	"3.16"	"-2.51587"	"4.86e-01"	"Eno1b///Eno1"	"enolase 1B, retrotransposed///enolase 1, alpha non-neuron"
"10527229"	"0.54534"	"1.11e-02"	"3.16"	"-2.51769"	"6.48e-01"	"Fam220a"	"family with sequence similarity 220, member A"
"10358521"	"0.54534"	"1.11e-02"	"-3.16"	"-2.51842"	"-4.32e-01"	"Hmcn1"	"hemicentin 1"
"10343848"	"0.54534"	"1.11e-02"	"3.15"	"-2.52055"	"9.22e-01"	""	""
"10404700"	"0.54534"	"1.11e-02"	"3.15"	"-2.52093"	"4.33e-01"	"Ubxn2a"	"UBX domain protein 2A"
"10357917"	"0.54534"	"1.12e-02"	"3.15"	"-2.52141"	"3.30e-01"	"Tmem183a"	"transmembrane protein 183A"
"10493850"	"0.54676"	"1.12e-02"	"3.15"	"-2.52545"	"6.75e-01"	"Sprr2a2///Sprr2a3///Sprr2b///Sprr2a1"	"small proline-rich protein 2A2///small proline-rich protein 2A3///small proline-rich protein 2B///small proline-rich protein 2A1"
"10427895"	"0.54676"	"1.12e-02"	"3.15"	"-2.52593"	"3.92e-01"	"Basp1"	"brain abundant, membrane attached signal protein 1"
"10400189"	"0.54679"	"1.13e-02"	"3.15"	"-2.52938"	"3.91e-01"	""	""
"10495530"	"0.54679"	"1.13e-02"	"3.15"	"-2.53012"	"4.02e-01"	"Dph5"	"diphthamide biosynthesis 5"
"10398693"	"0.54679"	"1.13e-02"	"3.15"	"-2.53095"	"4.75e-01"	"Snora28///Eif5"	"small nucleolar RNA, H/ACA box 28///eukaryotic translation initiation factor 5"
"10342564"	"0.54679"	"1.13e-02"	"-3.15"	"-2.53108"	"-6.83e-01"	""	""
"10386775"	"0.54679"	"1.13e-02"	"3.15"	"-2.53174"	"4.55e-01"	"Prpsap2"	"phosphoribosyl pyrophosphate synthetase-associated protein 2"
"10592457"	"0.54749"	"1.13e-02"	"-3.14"	"-2.53398"	"-5.13e-01"	"Olfr976"	"olfactory receptor 976"
"10542885"	"0.55038"	"1.14e-02"	"-3.14"	"-2.54065"	"-3.77e-01"	"2810474O19Rik"	"RIKEN cDNA 2810474O19 gene"
"10546184"	"0.55038"	"1.14e-02"	"3.14"	"-2.54131"	"4.99e-01"	"Plxna1"	"plexin A1"
"10502081"	"0.55038"	"1.14e-02"	"3.14"	"-2.54293"	"4.71e-01"	"Enpep"	"glutamyl aminopeptidase"
"10566624"	"0.55038"	"1.14e-02"	"-3.14"	"-2.5438"	"-4.60e-01"	"Gm10081"	"predicted gene 10081"
"10416942"	"0.55038"	"1.15e-02"	"-3.14"	"-2.54414"	"-3.44e-01"	""	""
"10573066"	"0.55043"	"1.15e-02"	"-3.14"	"-2.54605"	"-4.01e-01"	"Frem3"	"Fras1 related extracellular matrix protein 3"
"10421697"	"0.55043"	"1.15e-02"	"3.14"	"-2.5465"	"3.43e-01"	"Lacc1"	"laccase (multicopper oxidoreductase) domain containing 1"
"10450167"	"0.55134"	"1.15e-02"	"-3.13"	"-2.54983"	"-4.01e-01"	"LOC100045026///Btnl4///Btnl6"	"butyrophilin-like///butyrophilin-like 4///butyrophilin-like 6"
"10346914"	"0.55134"	"1.16e-02"	"3.13"	"-2.5513"	"4.36e-01"	"Fastkd2"	"FAST kinase domains 2"
"10504422"	"0.55134"	"1.16e-02"	"-3.13"	"-2.55152"	"-4.50e-01"	"Olfr155"	"olfactory receptor 155"
"10575153"	"0.55134"	"1.16e-02"	"3.13"	"-2.55244"	"4.31e-01"	"Cyb5b"	"cytochrome b5 type B"
"10343333"	"0.55143"	"1.16e-02"	"3.13"	"-2.554"	"7.18e-01"	""	""
"10500272"	"0.55143"	"1.16e-02"	"-3.13"	"-2.55654"	"-5.52e-01"	"Ciart"	"circadian associated repressor of transcription"
"10436865"	"0.55143"	"1.16e-02"	"3.13"	"-2.5578"	"3.75e-01"	"Ifngr2"	"interferon gamma receptor 2"
"10379524"	"0.55143"	"1.17e-02"	"3.13"	"-2.55873"	"5.53e-01"	"Ccl11"	"chemokine (C-C motif) ligand 11"
"10343209"	"0.55143"	"1.17e-02"	"-3.13"	"-2.55907"	"-1.04"	""	""
"10532954"	"0.55143"	"1.17e-02"	"3.13"	"-2.56087"	"3.90e-01"	"Mlec"	"malectin"
"10557808"	"0.55143"	"1.17e-02"	"3.12"	"-2.5634"	"3.67e-01"	"Zfp646"	"zinc finger protein 646"
"10490150"	"0.55143"	"1.18e-02"	"3.12"	"-2.56692"	"4.81e-01"	"Zbp1"	"Z-DNA binding protein 1"
"10554655"	"0.55143"	"1.18e-02"	"3.12"	"-2.56757"	"5.18e-01"	"Mex3b"	"mex3 RNA binding family member B"
"10342086"	"0.55143"	"1.18e-02"	"3.12"	"-2.57051"	"9.92e-01"	""	""
"10352127"	"0.55143"	"1.18e-02"	"3.12"	"-2.57057"	"4.26e-01"	"AI503316///Cox20"	"expressed sequence AI503316///COX20 Cox2 chaperone"
"10592535"	"0.55143"	"1.18e-02"	"3.12"	"-2.57169"	"4.75e-01"	"Sorl1"	"sortilin-related receptor, LDLR class A repeats-containing"
"10497912"	"0.55143"	"1.18e-02"	"-3.12"	"-2.57244"	"-3.24e-01"	"Gm5148"	"predicted gene 5148"
"10339249"	"0.55143"	"1.19e-02"	"3.12"	"-2.57293"	"3.83e-01"	""	""
"10416071"	"0.55143"	"1.19e-02"	"-3.12"	"-2.57403"	"-3.51e-01"	"Chrna2"	"cholinergic receptor, nicotinic, alpha polypeptide 2 (neuronal)"
"10344326"	"0.55143"	"1.19e-02"	"-3.11"	"-2.57581"	"-1.01"	""	""
"10361620"	"0.55143"	"1.19e-02"	"3.11"	"-2.57726"	"3.26e-01"	"Gm5512///Rmnd1"	"required for meiotic nuclear division 1 pseudogene///required for meiotic nuclear division 1 homolog"
"10344222"	"0.55143"	"1.19e-02"	"3.11"	"-2.57799"	"5.68e-01"	""	""
"10572838"	"0.55143"	"1.20e-02"	"3.11"	"-2.58079"	"4.64e-01"	"Sin3b"	"transcriptional regulator, SIN3B (yeast)"
"10416709"	"0.55143"	"1.20e-02"	"3.11"	"-2.58137"	"3.48e-01"	"Tdrd3"	"tudor domain containing 3"
"10341707"	"0.55143"	"1.20e-02"	"3.11"	"-2.58151"	"8.81e-01"	""	""
"10505643"	"0.55143"	"1.20e-02"	"3.11"	"-2.58207"	"3.46e-01"	"Ccdc171"	"coiled-coil domain containing 171"
"10342951"	"0.55143"	"1.20e-02"	"-3.11"	"-2.58499"	"-6.67e-01"	""	""
"10371482"	"0.55143"	"1.20e-02"	"3.11"	"-2.58524"	"3.73e-01"	"Hsp90b1"	"heat shock protein 90, beta (Grp94), member 1"
"10344422"	"0.55143"	"1.20e-02"	"3.11"	"-2.58556"	"3.82e-01"	""	""
"10574149"	"0.55143"	"1.20e-02"	"3.11"	"-2.58565"	"3.91e-01"	"Nlrc5"	"NLR family, CARD domain containing 5"
"10398665"	"0.55143"	"1.21e-02"	"3.11"	"-2.58751"	"4.52e-01"	"Tnfaip2"	"tumor necrosis factor, alpha-induced protein 2"
"10576118"	"0.55143"	"1.21e-02"	"-3.11"	"-2.58837"	"-4.06e-01"	"9330133O14Rik"	"RIKEN cDNA 9330133O14 gene"
"10466110"	"0.55143"	"1.21e-02"	"-3.10"	"-2.58918"	"-3.65e-01"	"Ms4a10"	"membrane-spanning 4-domains, subfamily A, member 10"
"10343975"	"0.55143"	"1.21e-02"	"3.10"	"-2.58968"	"2.78e-01"	""	""
"10340618"	"0.55143"	"1.21e-02"	"-3.10"	"-2.59065"	"-6.55e-01"	""	""
